"Company Name","ENR - Weekly Activity Summary","OUT - Weekly Activity Summary","OUT - Competitive News Summary & Action","OUT - Weekly intelligence brief","Weekly intelligence brief: Subject","Weekly intelligence brief: Body","Send message to channel","Segment","Category","Competitive Inisghts","Find Domain from Company Name","Find Domain from Company Name (2)","Find domain from company name","OUT - Domain","OUT - LinkedIn Url","OUT - Company Revenue","OUT - PMM - Company Problem & Differentiation Response","Pricing Details","OUT - PMM - B2B Customer Names Sample","OUT - FUNDING - Funding Stage","OUT - FUNDING - Investors","OUT - FUNDING - Latest Funding"
"PRAY.COM","Launched two limited-series devotionals hosted by Tim and Demi-Leigh Tebow (press release Jan 26,...","Launched two limited-series devotionals hosted by Tim and Demi-Leigh Tebow (press release Jan 26, 2026).",,,"Here is our first Weekly intelligence brief"," ",,"PRAY.COM","Tech, SaaS & AI Tools","PRAY.COM operates the world's #1 daily prayer app with over 18 million downloads, offering daily devotionals, meditative prayers, bedtime Bible stories, and the #1 Spotify religion podcast ""Bible in a Year."" The company targets individual consumers, ministries and churches, employers for wellness programs, and international non-English speaking users through its expanding AI-driven PRAY Studio platform. Pricing includes consumer subscriptions at $13.98 and enterprise solutions for churches and corporate wellness buyers. Distribution occurs through direct mobile app downloads, partnership deals with major audio distributors like iHeartMedia, direct enterprise sales to ministries, and corporate wellness channel partnerships. PRAY.COM differentiates by combining accessible digital prayer tools with engaging content like cinematic podcasts, positioning itself as a comprehensive faith platform that encourages daily prayer habits and spiritual community building versus traditional physical prayer books or general online resources.","pray.com",,,"pray.com","https://www.linkedin.com/company/pray.com","$1M - $5M","1. Encourages daily prayer, community building, and spiritual growth through accessible digital tools and content.  
2. Traditional methods like physical prayer books, in-person gatherings, or general online resources.  
3. Missed spiritual growth, less engagement in prayer habits, and disconnected faith communities.  
4. Combines accessibility, engaging content (e.g., podcasts), and a focus on cultivating faith through a mobile app.","$13.98",,,"BoxGroup, FMZ Ventures, Foundation Capital, Founders Fund, Garden City Equity, Greylock, Haystack, Kleiner Perkins, Moonshots Capital, Moxxie Ventures, Science, Sequoia Capital, Spark Capital, TPG Growth, VMG Partners, Wavemaker Partners, What If Ventures, Adam Bain, Clark Landry, Thomas Pentz, Drew Brees, Jeff Kearl, Nick Tran, Peter Pham, Rick Marini, Scooter Braun","18000000"
"Bible App","No notable updates in the past 7 days.","No notable updates in the past 7 days.",,,"Here is our first Weekly intelligence brief"," ","✅ Sent","Listeners","Streaming / Digital Platforms","YouVersion creates culturally relevant, biblically-centered digital experiences through its Bible App and related products, targeting individuals seeking daily spiritual growth as well as churches and ministry organizations. The platform operates on a $10.00 pricing model while pursuing donor-funded expansion initiatives. Distribution occurs through app stores, church partnerships, and global campaigns, with technology-driven localization efforts reaching over 550 million users across multiple languages and regions. YouVersion differentiates itself as a Scripture-first, technology-driven platform that facilitates daily connections with God through interactive experiences, positioning against traditional static resources and competing Bible apps by emphasizing community engagement and accessibility features for underserved markets.","No Result Found","✅ youversion.com",,"youversion.com","https://www.linkedin.com/company/youversion","$10M - $25M","1. Facilitates daily connections with God through culturally relevant, biblically-centered experiences.
2. Using traditional methods like books, sermons, or static resources to seek spiritual growth.
3. Lack of daily engagement, limited spiritual growth, and missed opportunities for community support.
4. Focuses on technology-driven, interactive experiences for spiritual growth, backed by a large community.","$10.00","Life.Church
Instagram
Facebook
YouTube
LinkedIn","Most recent funding stage: No disclosed external funding (Unfunded / Bootstrapped / Ministry-funded). No public Seed/Series/A or later round, no IPO, and no recorded venture investment. Funding round name/date: None found (no public rounds disclosed). Summary: YouVersion (Bible App, youversion.com) is operated as a ministry/technology initiative of Life.Church and has been supported through sponsorship and church funding rather than venture capital.","","Most recent publicly disclosed funding amount: approximately $20,000,000 USD (Life.Church’s cumulative investment in YouVersion reported in 2013). Additionally, about $3,000,000 in donor gifts were reported in the prior year to sustain the app. No public record was found of an external venture-capital or private-equity funding round for YouVersion; available information indicates the app is ministry-funded by Life.Church and supported by donations. Date of the disclosed figures: July 2013."
"Angel Studios","Announced participation in Q1 2026 investor conferences: Oppenheimer (Feb 3–4), Deutsche Bank (Ma...","Announced participation in Q1 2026 investor conferences: Oppenheimer (Feb 3–4), Deutsche Bank (Mar 9–11), and Roth (Mar 23–24).",,,"Here is our first Weekly intelligence brief"," ","✅ Sent","Listeners","Streaming / Digital Platforms","Angel Studios operates a film studio platform that empowers creators and viewers to collaboratively fund and produce high-quality TV and film content outside traditional Hollywood systems. The company targets global audiences, families, younger genre fans, and retail investors through its community-driven Angel Guild membership model and crowdfunding approach. Revenue is generated through Angel Guild subscriptions at $91.34, theatrical releases with flexible on-demand pricing, and diversified streams including equity crowdfunding, merchandise, and content licensing. Distribution occurs via their proprietary Angel App streaming platform, theatrical releases, and third-party licensing partnerships with international distributors. Angel Studios differentiates itself through its crowdfunded, community-driven model that gives viewers direct input in content creation and funding decisions, positioning against traditional Hollywood gatekeeping and limited creative freedom.","angel.com",,,"angel.com","https://www.linkedin.com/company/angel-studios-page","$10M - $25M","1. Empowers creators and viewers to fund and produce high-quality films outside traditional Hollywood systems.  
2. Relying on traditional Hollywood studios for production and distribution.  
3. Limited creative freedom, fewer diverse stories, and reliance on Hollywood gatekeeping.  
4. Crowdfunded, community-driven model giving viewers a say in content creation and funding.","$91.34","Apple
Google
DryBar Comedy
Tuttle Twins
The Wingfeather Saga
Young DAVID
His Only Son
The Riot and the Dance","SERIES_C","Alta Ventures Mexico, Gigafund, Kickstart, Trinity Capital, Uncorrelated Ventures","100000000"
"YouVersion","Posted recruitment for software engineering and marketing roles; promoted East African Bible Read...","Posted recruitment for software engineering and marketing roles; promoted East African Bible Reading Plans via official blog; no major product or partnership announcements found in the past 7 days.",,,"Here is our first Weekly intelligence brief"," ","✅ Sent","Listeners","Streaming / Digital Platforms","YouVersion creates culturally relevant, biblically-centered digital experiences through its Bible app and family of apps, targeting global users seeking daily spiritual engagement, with specific focus on regional populations in Latin America and Africa, children and families, and churches. The platform operates as a ministry of Life.Church with a donation-based funding model at $27.00, supported by recurring gifts from their Sowers community. Distribution occurs through partner-led channels including 7,000+ content partners and 24,000+ churches, alongside product-led growth campaigns emphasizing app installs and localized content. YouVersion differentiates itself as a Scripture-first app that facilitates deeper spiritual connections through interactive, culturally relevant experiences, unlike traditional church services, physical Bibles, or less engaging digital alternatives.","bible.com",,,"bible.com","https://www.linkedin.com/company/youversion","$10M - $25M","1. Facilitates deeper spiritual connections and daily experiences with God through biblical content.
2. Reliance on traditional church services, physical Bibles, or less interactive apps for spiritual growth.
3. Lack of personal spiritual growth, missed opportunities for community connection, and reduced daily engagement with faith.
4. Focuses on creating culturally relevant, interactive experiences unlike traditional methods or static resources.","$27.00","Life.Church
Instagram
Facebook
YouTube
LinkedIn","Conclusion: As of 2025-10-27, YouVersion (bible.com) has no publicly disclosed venture funding rounds and should be classified as Unfunded / Bootstrapped. Available public records and reputable reporting indicate the app is supported by donations and internal funding from Life.Church; no Seed, Series A/B/C, Growth, or IPO rounds are documented.","","Latest publicly disclosed funding/support amount found: 20,000,000 USD (LifeChurch contribution, reported circa 2013). No later public VC-style funding rounds were identified; funding appears to come from Life.Church support and donations (Business Insider reporting also noted ~3,000,000 USD in donations that year)."
"Pushpay","Published Jan 27 report showing 2025 church engagement/generosity growth; featured in AWS Bedrock...","Published Jan 27 report showing 2025 church engagement/generosity growth; featured in AWS Bedrock GenAI case study; posted parish Lenten planning blog.",,,"Here is our first Weekly intelligence brief"," ","✅ Sent","Ministries","Tech, SaaS & AI Tools","Pushpay provides an integrated suite of church management and engagement tools including ChurchStaq/ParishStaq, Pushpay Giving, Insights analytics, mobile apps, and Resi live streaming for churches, parishes, and mission-based organizations. The company targets Catholic churches/parishes, multi-site campuses, and broader mission-driven nonprofits, with reference customers including Coram Deo Bible Church, Central Community Church, and St. Isidore Church. Distribution occurs through partner-led growth strategies, content-driven demand generation, and direct sales with cross-sell/upsell motions to existing customers. Pushpay differentiates by focusing on community building through integrated tools and data-driven insights tailored specifically for mission-based organizations, addressing the problem of manual donation processing and fragmented communication tools that can decrease donations and engagement.","pushpay.com",,,"pushpay.com","https://www.linkedin.com/company/pushpay-ltd","$25M - $50M","1. Pushpay simplifies donations and community engagement for mission-based organizations.
2. Manual donation processing and separate communication tools.
3. Decreased donations, engagement, and potential community growth.
4. Focuses on community building through integrated tools and data-driven insights tailored for mission-based organizations.",,"Coram Deo Bible Church
Central Community Church
First United Methodist Church of Palmdale
Asbury United Methodist Church
St. Isidore Church
Our Lady of Perpetual Help
St. Anthony of Padua
Connection Pointe Christian Church
Central Church Henderson NV","Post Ipo Equity","Alliance Equities (and associated companies), Callaghan Innovation, Christopher & Banks Private Equity","320000000"
"Pulpit AI","No notable updates in the past 7 days.","No notable updates in the past 7 days.",,,"Here is our first Weekly intelligence brief"," ","✅ Sent","Ministries","Tech, SaaS & AI Tools","Pulpit AI provides AI-powered content creation tools for churches and ministries, generating sermon-derived content including video clips, devotionals, study guides, newsletters, and social media posts. The platform targets churches, theological institutions, and ministry programs, serving notable customers like Saddleback Church, Hillsong, Focus on the Family, and Reformed Theological Seminary. Pricing starts at $4,195.00, with distribution through Subsplash's direct sales team offering demos and trials, plus Client Success Manager support for existing customers. Pulpit AI positions itself as a time-saving solution that amplifies sermon reach across multiple channels while preserving pastoral voice and theological authenticity, differentiating through its integration with Subsplash's broader church engagement platform.","No Result Found","✅ pulpitai.com",,"pulpitai.com","https://www.linkedin.com/company/subsplash","$25M - $50M","1. Creates software solutions in Fintech and mobile SaaS that inspire and delight users.
2. Using generic software or traditional development methods without focused design.
3. Potential inefficiencies, lower user satisfaction, and missed innovation opportunities.
4. Emphasizes people-centered design, innovation, and a strong culture with numerous workplace awards.","$4,195.00","Harvest Christian Fellowship
Fresh Life Church
National Community Church
Saddleback Church
The Village Church
Art of Leadership Academy
Southeastern University
Billy Graham
Angelus Temple
Crista
Hillsong
Transformation Church
Ligonier
Passion
Southeast Christian Church
Belonging
Tony Evans Ministries
The Gospel Coalition
North Point Community Church
Bible Study Fellowship
Focus on the Family
Wild at Heart
Grace Community Church
Beth Moore Ministries
Covenant Theological Seminary
Southern Evangelical Seminary
Reformed Theological Seminary","EXITED","Subsplash","0"
"The Christian Post","Published regular news content and promoted headlines on social media; no material product, hirin...","Published regular news content and promoted headlines on social media; no material product, hiring, partnership, or executive announcements detected in the past 7 days.",,,"Here is our first Weekly intelligence brief"," ","✅ Sent","Brands & Advertisers ","Streaming / Digital Platforms","The Christian Post operates as a comprehensive faith-based news publisher providing global and national Christian news coverage, along with premium content through CP Insider subscriptions, events, and e-commerce offerings. It targets faith-driven consumers, church leaders, seminaries, conservative advocacy groups, and faith+tech professionals, with notable connections to organizations like BBC, Southern Baptist Convention, Meta, and various educational institutions. The company employs a multi-channel monetization strategy with $5.00 pricing for certain offerings, combining advertising packages, subscription content, event monetization, and e-commerce through their Shop marketplace. Distribution occurs through their website, email newsletters, social media platforms, and direct enterprise sales using case-study-led outreach and multi-format ad bundles. They differentiate by providing comprehensive Christian-focused news as an alternative to fragmented secular sources, combining global coverage with specialized content for ministries, leaders, and institutions within the Christian community.","christianpost.com",,,"christianpost.com","https://www.linkedin.com/company/the-christian-post","$10M - $25M","1. Provides comprehensive Christian-focused news and updates on events impacting the global Christian community.  
2. Relying on secular news sources or smaller Christian outlets for fragmented information.  
3. Limited access to focused, relevant updates for informed decision-making within the Christian community.  
4. Combines global and national Christian news with wide-ranging topics specific to ministries, leaders, and institutions.","$5.00","Christian Today
Christian Daily International
Crossmap
Bible Portal
BreatheCast
GoodNewsLine
Edifi
Vide Press
BBC
Lifeway Research
Southwestern Seminary
Southern Baptist Convention
Gloo
Meta
OpenAI
Pornhub
FTC
Lionsgate
Kingdom Story Company
Apple
Google
Telegram
Flipboard
Texas State Education Agency
Fort Worth School District
Anglican Church in North America
Intel
United Nations
Illinois State University
Supreme Court
ChatGPT","Most recent funding stage: No disclosed venture-equity rounds. The Christian Post (christianpost.com) appears to be privately funded or bootstrapped. The most recent publicly reported financing activity is a COVID-era SBA Paycheck Protection Program (PPP) loan reported in 2020–2021 (a loan, not an equity round). Available profiles report aggregate funding estimates (e.g., ZoomInfo lists total funding as <$5M with the latest reported funding activity dated Jan 21, 2021) and third-party aggregates list small funding figures (RocketReach lists $390,000), but there is no clear record of a Seed, Series A, Series B, growth round, or IPO. Therefore the current funding stage should be characterized as: no disclosed equity funding / privately funded (bootstrapped), with the latest known financing event being a PPP loan in Jan 2021.","U.S. Small Business Administration.","Latest publicly disclosed funding amount: $240,760 (USD) — an SBA Paycheck Protection Program (PPP) loan. Additional reporting (ZoomInfo) lists total funding as < $5M and a most recent funding round dated Jan 21, 2021 with amount < $5M. No verifiable venture-capital or acquisition funding rounds were found in accessible Crunchbase or other VC databases; Crunchbase profile content is limited/behind login."
"Gloo","Announced strategic partnership with InterVarsity; promoted Flourishing AI benchmark and Palo Alt...","Announced strategic partnership with InterVarsity; promoted Flourishing AI benchmark and Palo Alto ""Gloo Conversations"" events on social media; no new product releases or executive hires reported.",,,"Here is our first Weekly intelligence brief"," ","✅ Sent","Ministries","Tech, SaaS & AI Tools","Gloo operates a values-aligned AI platform that empowers faith organizations to connect, collaborate, and grow through technology and data tools, including the Gloo AI suite, developer tools, and ministry analytics. The company targets ministries, content publishers, developers, and research organizations like Barna, Midwestern, Outreach, Masterworks, and Servant.io, with pricing starting at $19.99. Distribution occurs through strategic partnerships, developer engagement events, enterprise licensing, and productized offerings via their web platform and extensive technology stack. Gloo differentiates itself by providing a centralized, technology-driven platform tailored specifically for the faith ecosystem, addressing the fragmented, non-digital methods that limit collaboration and growth for faith organizations.","gloo.us",,,"gloo.us","https://www.linkedin.com/company/gloo-llc","$10M - $25M","1. Empowers faith organizations to connect, collaborate, and grow through technology and data tools.  
2. Using fragmented, non-digital methods like in-person networking or disparate tools.  
3. Limited collaboration, outreach, and growth for faith organizations.  
4. Centralized, technology-driven platform tailored specifically for the faith ecosystem.","$19.99","Barna
Midwestern
Outreach
Masterworks
Servant.io","SERIES_C","","Latest publicly disclosed (verified) funding: 110000000 USD (one hundred ten million US dollars), date: 2024-07-31. Unverified/uncorroborated entry: 23000000 USD (twenty-three million US dollars) listed on Fundz with a 2025-01-14 posting (appears to be an offering/filing entry and lacks corroboration from company press release or major outlets)."
"Glorify","No notable updates in the past 7 days.","No notable updates in the past 7 days.",,,"Here is our first Weekly intelligence brief"," ",,"Listeners","Streaming / Digital Platforms","Glorify is an all-in-one design software that enables users to create professional, high-converting social media posts, ads, logos, infographics, presentations, and mock-ups. The platform targets entrepreneurs, marketers with no design skills, and professional designers seeking accessible tools for diverse marketing and branding needs. Pricing is available at $198.05, with distribution through their website and digital marketing channels including Facebook Ads, Google Ads, and social media platforms. Glorify differentiates itself by simplifying the design process for non-designers while supporting professionals with advanced features, positioning as an easier and more cost-effective alternative to complex tools like Photoshop or hiring professional designers.","glorify.com",,,"glorify.com","https://www.linkedin.com/company/glorify-app","$1M - $5M","1. Simplifies creating professional, high-converting designs for diverse marketing and branding needs.  
2. Using complex design tools like Photoshop or hiring professional designers.  
3. More time, effort, and cost for creating quality visual content.  
4. Focused on ease-of-use for non-designers while supporting professionals with advanced features.","$198.05","Leonardo.ai
Canva
Photoshop
Contra
Artboard
Kittl
VistaCreate
Visme","EXITED","Fuel Ventures, Mark Pearson, Mark Pearson, Payel Mukherjee, LeadPages","0"
"Spotify / Apple Podcasts","Spotify expanded AI playlists, launched a video series, named award nominees, and reported $11B i...","Spotify expanded AI playlists, launched a video series, named award nominees, and reported $11B in payouts; Apple Podcasts had no notable updates in the past 7 days.","Spotify's new TuneMyMusic playlist import and tools enhance user content management, intensifying competition in audio platforms. Action: Develop integrated playlist sharing features to boost user retention and engagement on PRAY.COM.","Spotify's new TuneMyMusic playlist import and tools enhance user content management, intensifying competition in audio platforms. Action: Develop integrated playlist sharing features to boost user retention and engagement on PRAY.COM.","Here is our first Weekly intelligence brief","Spotify's new TuneMyMusic playlist import and tools enhance user content management, intensifying competition in audio platforms. Action: Develop integrated playlist sharing features to boost user retention and engagement on PRAY.COM. ","✅ Sent","Ministries","Social Media","Simplecast by AdsWizz provides an end-to-end podcast management platform that combines content creation, distribution, analytics, and monetization tools for podcasters of all sizes. The company serves podcast networks, enterprise publishers, professional creators, and major brands including Apple Podcasts, Spotify, Nike, Harvard University, and Target. Distribution occurs through direct web-based sales, product-led upselling to their Professional tier, and strategic partnerships with AdsWizz marketplace and industry events. They differentiate by offering IAB-certified analytics, one-click publishing to major platforms, and integrated monetization capabilities that combine Simplecast's CMS with AdsWizz's ad technology, positioning against fragmented multi-tool workflows that limit revenue and audience growth.","No Result Found","✅ simplecast.com",,"simplecast.com","https://www.linkedin.com/company/simplecast","$1M - $5M","1. Simplifies podcast creation, distribution, analytics, and monetization for creators and networks.  
2. Using multiple platforms/tools for each step; manual processes.  
3. Missed revenue, limited audience growth, and inefficient podcast management.  
4. Combines industry-leading insights, one-click publishing, and advanced monetization within a single platform.",,"Apple Podcasts
Spotify
Meta
Twitter
Showtime
Nike
Politico
Fast Company
Bazaar
Harvard University
McAfee
Tech Crunch
Shopify
Medium
Us Weekly
Target
Kickstarter
Marriott
Dell
The Hollywood Reporter
Food52
1Password
Slack
Mozilla
Strava
Product Hunt
Gartner
MIT
Hyperallergic
The Aspen Institute
Wonder Media Network
SAP
Glaad
Charles Schwab
NYU
AdsWizz
Pandora
Stitcher
IAB Tech Lab","EXITED","Wayward Wild, Sirius XM Radio, Great Oaks Venture Capital, Zelkova Ventures, Hudson Valley Startup Fund, Gabriel Jarrosson","28000000"
