"Company","Leader name","Domain","1) Company Enrich - Linkedin","1) Company Enrich - Employee Range","1) Company Enrich - Description","2) Company Type (2)","2) Company Type - response","3) Company Revenue Model(s)","3) Company Revenue Model(s) - response","4) Company Revenue","4) Enrich Church - Lead Pastor Name","4) Enrich Church - Member Count","4) Enrich Church - Church Denomination","4) Enrich Church - Physical Location Count","Facebook (Company)","Instagram (Company)","7) Instagram Followers","8) Company's media involvement","ENR - Audio Distribution Channels","Audio distribution channel names","audio distribution channel types","Find cumulative ad spend for a company","Sumadspend - Advertisers","Apple Podcast Link","Apple Podcast Link apple Podcast Url","Apple podcast - Avg Uploads (6 Months)","Company Tech Stack","11) Podcast Audience Metrics","Competitive Solutions in Use","Competitive Solutions in Use - response"
"180 Church ","Pastor Lorenzo Sewell","180church.cc",,,,"Response","Church","Donations, Sponsorships","Donations, Sponsorships","$0-$1M",,,,,,"https://www.instagram.com/180church.cc/","6533","TV","{""name"":""YouTube"",""url"":""https://www.youtube.com/channel/UCCXzVAtZu0npffIvPkno6tQ"",""frequency"":nu...","Youtube, Apple Podcasts, Spotify","Streaming Platform, Podcast Directory","❌ No spend data found",,"https://podcasts.apple.com/us/podcast/the-180-church-podcast-with-dr-sammy-and-friends/id1383362738","https://podcasts.apple.com/us/podcast/the-180-church-podcast-with-dr-sammy-and-friends/id1383362738","0","Response","Response","{""matchedCompany"":""None found"",""evidenceUrl"":"""",""evidenceSnippet"":""""}","No explicit, publicly-available evidence was found to indicate that 180 Church (domain: 180church.cc) is a customer or partner of any of the listed companies. A comprehensive search was conducted on 180church.cc and relevant third-party vendor sites and directories, but no logo walls, case studies, testimonials, partner listings, or tech stack disclosures naming the specified vendors were identified."
"Abundant Living Faith Center","Adam Mesa","alfconline.com","https://www.linkedin.com/company/abundant-living-family-church","51-200 employees","Abundant Living Family Church exists to seek the lost, teach the found & send the disciples.","Response","Church","Not found","Not found","$10M - $25M","Charles Nieman",30000,"Non-denominational",3,"facebook.com/abundantlivingfamilychurch","The official Instagram profile for Abundant Living Family Church (Rancho) appears to be: https://www.instagram.com/patria.rancho/","9923","both","{""name"":""Apple Podcasts"",""url"":""https://podcasts.apple.com/us/podcast/charles-nieman-podcast/id96...","Apple Podcasts, Spotify, Youtube, Listennotes, Alfc Website, Alf Church Website, Alfc Online Website","Podcast Directory, Streaming Platform, Online Radio, Other","❌ No spend data found",,"https://podcasts.apple.com/ca/podcast/charles-nieman-podcast/id966705899","https://podcasts.apple.com/ca/podcast/charles-nieman-podcast/id966705899","0","Response","Response","{""matchedCompany"":""None found"",""evidenceUrl"":"""",""evidenceSnippet"":""""}","None found."
"Alan Wright Ministries","Alan Wright","pastoralan.org",,,,"Response","Media Ministry","Donations, Transactional, Subscription","Donations, Transactional, Subscription",,,,,,,"https://www.instagram.com/pastoralanwright/","1973","Radio","{""name"":""Apple Podcasts"",""url"":""https://podcasts.apple.com/us/podcast/alan-wright-ministries-dail...","Apple Podcasts, Iheart, Truth Network, Wtru, Wcru, Wdru, Kutr, Wles, Wtod, Wtkd, Wkhf, Wkvg, Wlxk, Youtube, Apple Podcasts, Google Podcasts, Awm App, Myfaithradio","Podcast Directory, Streaming Platform, Online Radio, Radio Station, Mobile App","❌ No spend data found",,"https://podcasts.apple.com/us/podcast/alan-wright-ministries-daily-radio-broadcast/id283922357","https://podcasts.apple.com/us/podcast/alan-wright-ministries-daily-radio-broadcast/id283922357","0","Response","Response","{""matchedCompany"":""None found"",""evidenceUrl"":"""",""evidenceSnippet"":""""}","Based on the available public information, no explicit customer relationships were found between Alan Wright Ministries and any of the specified companies: youversion.com, angel.com, bible.com, pushpay.com, pulpitai.com, christianpost.com, gloo.us, glorify.com, simplecast.com, abideomaha.org, sharefaith.com, faithwire.com, churchtechonline.com, cbndigital.com.tr, ytatv.com, churchtranslation.org, rightnowmedia.org, livevoice.io, cbn.com, emfmedia.com, salemmedia.com, daystar.com, tct.tv, bottradionetwork.com, afr.net, wrjz.com, ytatv.com, tbn.org."
"All Things Possible","Victor Marx","victormarx.com","https://www.linkedin.com/company/allthingspossible","11-50 employees","Our Vision: ATP Ministries is a faith-based organization that works globally to identify and restore victims of trauma from abuse and its damaging effects in order to free people from their suffering and interrupt the cycle of abuse for future generations.

Our Mission: ATP Ministries is a faith-based organization that works globally to set captives free- Physically, Emotionally, and Spiritually. 

Our Core Values: 
- Trauma is a reality that damages lives physically, emotionally, and spiritually. - Every human life is valued because we are created in the image of God, deserving of compassion and forgiveness, regardless of age, race, color, or religion. 
- We are Bible believing with our foundation built on Christ Jesus’ love and hope. 
- We recognize the impact of evil and darkness but believe that prayer is a powerful weapon that we integrate into every strategy, initiative, tactic, and relationship. 
- We will never give up because we have unwavering confidence in God’s plan and trust that He will open doors for us to walk through and will faithfully minister to those He directs us to.
 
We are called to spread the gospel of Jesus Christ and to set people free!

“The Spirit of the Lord is upon me,
    because he has anointed me
        to bring good news to the poor.
He has sent me to proclaim release to the captives
    and recovery of sight to the blind,
        to let the oppressed go free,
to proclaim the year of the Lord’s favor.""

Luke 4:18-19","Response","Nonprofit","Donations, Product sales","Donations, Product sales","$1M - $5M",,,,,"http://www.facebook.com/victormarx","https://www.instagram.com/reel/DDPjwxoPm2h/","275706251","Radio","{""name"":""Apple Podcasts"",""url"":""https://podcasts.apple.com/us/podcast/the-victor-marx-podcast/id1...","Apple Podcasts, Spotify, Youtube, Facebook, Acast","Podcast Directory, Streaming Platform, Other","❌ No spend data found",,"https://podcasts.apple.com/us/podcast/the-victor-marx-podcast/id1463343238","https://podcasts.apple.com/us/podcast/the-victor-marx-podcast/id1463343238","0.2","Response","Response","{""matchedCompany"":""None found"",""evidenceUrl"":"""",""evidenceSnippet"":""""}","All Things Possible (victormarx.com) was not found to be a customer or user of any of the specified companies based on public web presence and credible third-party pages. Despite thorough checks of primary and secondary sources, no explicit evidence, such as logo walls, case studies, testimonials, partner/customer lists, or press releases, was discovered on victormarx.com or the official pages of the listed companies to indicate such a relationship."
"Amazing Facts International","Doug Batchelor","amazingfacts.org","https://www.linkedin.com/company/amazing-facts","51-200 employees","For more than 45 years, Amazing Facts has been committed to proclaiming the three angels' messages of Revelation 14 and fulfilling the great commission of Jesus Christ.

Our many dynamic outreaches—television, radio, the Internet, publishing, and more—not only share the gospel and transform lives all around the globe, they also encourage, inspire, and equip others to help build up God's kingdom in these last days of earth's history.

Amazing Facts is dedicated to using every means possible to proclaim God's final message of hope and warning to the world. We encourage you to explore our many eye-opening videos available through YouTube. Each is filled with trustworthy, eye-opening information backed by Scripture— amazing Bible facts that will totally transform the way you think about God.","Response","Media Ministry","Donations, E-commerce/Transactional product sales, Program services/events","Donations, E-commerce/Transactional product sales, Program services/events","$5M - $10M",,,,,"http://www.facebook.com/amazingfacts","https://www.instagram.com/amazingfactsministry/","101000","Radio and TV","{""name"":""Amazing Facts Radio (AF Radio)"",""url"":""https://www.amazingfacts.org/listen/amazing-facts...","Amazing Facts Radio Af Radio, Af Radio Android, Af Radio Ios, Apple Podcasts, Spotify, Tunein, Youtube Amazing Facts International Channel, Feedburner Rss, Feedburner Rss, Feedburner Rss, Feedburner Rss, Feedburner Rss, Feedburner Rss, Feedburner Rss","Online Radio, Mobile App, Podcast Directory, Streaming Platform","❌ No spend data found",,"https://podcasts.apple.com/us/podcast/amazing-facts-with-doug-batchelor/id266112298","https://podcasts.apple.com/us/podcast/amazing-facts-with-doug-batchelor/id266112298","1","Response","Response","{""matchedCompany"":""daystar.com"",""evidenceUrl"":""https://daystar.com/doug-batchelor"",""evidenceSnipp...","Amazing Facts International is a broadcast partner and content provider for daystar.com and tbn.org. Amazing Facts TV programs are broadcast on networks including Daystar and Trinity Broadcasting Network (TBN). Both Daystar and TBN have dedicated program pages for 'Amazing Facts' that reference amazingfacts.org, confirming their relationship."
"American Association of Christian Counselors","Tim and Zach Clinton","aacc.net","https://www.linkedin.com/company/american-association-of-christian-counselors","51-200 employees","AACC is committed to assisting Christian counselors and the entire ‘community of care,’ licensed professionals, pastors, and caring church members with little or no formal training. It is our intention to equip clinical, pastoral, and lay care-givers with Biblical truth and psycho-social insights that ministers to hurting persons and helps them move to personal wholeness, interpersonal competence, mental stability, and spiritual maturity.","Response","Parachurch organization","Membership (Subscription), Transactional (Courses/Webinars/Events), Advertising/Sponsorship","Membership (Subscription), Transactional (Courses/Webinars/Events), Advertising/Sponsorship","$10M - $25M",,,,,"http://www.facebook.com/aaccofficial","The official Instagram profile for the American Association of Christian Counselors is https://www.instagram.com/theaacc_/","8153","Radio","{""name"":""AACC Website"",""url"":""https://aacc.net/"",""frequency"":null,""marketCity"":null,""channelType""...","Aacc Website, Aacc Website, Youtube, Youtube, Facebook, Spotify","Streaming Platform","❌ No spend data found",,"https://podcasts.apple.com/us/podcast/therapy-and-theology/id1641587501","https://podcasts.apple.com/us/podcast/therapy-and-theology/id1641587501","1.3","Response","Response","{""matchedCompany"":""bible.com"",""evidenceUrl"":""https://www.bible.com/reading-plans/19528-how-to-rec...","The American Association of Christian Counselors (AACC) is a customer of bible.com. This is evidenced by content authored by Tim Clinton, president of AACC, appearing on bible.com, where his affiliation with AACC is explicitly stated."
"Ark of Grace Ministries","Amanda Grace","arkofgrace.org",,,,"Response","Media Ministry","Donations/Contributions","Donations/Contributions",,,,,,,"https://www.instagram.com/reel/DR2Y57Vgryz/","275706251","Radio, TV","{""name"":""YouTube"",""url"":""https://www.youtube.com/c/ArkOfGraceMinistries"",""frequency"":null,""market...","Youtube, Bbs Radio, Apple Podcasts, Iheartradio, Spotify, Pandora, Wkto Radio, Charisma Podcast Network, Amazon Music, Pray Com","Streaming Platform, Online Radio, Podcast Directory, Radio Station","❌ No spend data found",,"https://podcasts.apple.com/us/podcast/prophetic-perspective-with-amanda-grace/id1660109186","https://podcasts.apple.com/us/podcast/prophetic-perspective-with-amanda-grace/id1660109186","0","Response","Response","{""matchedCompany"":""None found"",""evidenceUrl"":"""",""evidenceSnippet"":""""}","I searched Ark of Grace Ministries’ public website (arkofgrace.org) and conducted targeted web/vendor-site searches for explicit evidence that Ark of Grace Ministries (arkofgrace.org) is a customer/partner/user of any of the listed companies. No explicit evidence was found linking Ark of Grace Ministries to any of the companies in the provided list. The authoritative Ark of Grace Ministries “Ministry Partners” page lists multiple partners and recommended businesses, but none of the specified companies appear and there are no case studies, testimonials, logo walls, or press releases on arkofgrace.org that state a relationship with the listed vendors. I also ran broad web searches combining the exact phrase “Ark of Grace Ministries” (and arkofgrace.org) with each vendor brand name and searched vendor/customer directories and partner pages; these searches returned no pages that explicitly state Ark of Grace Ministries is a customer, partner, or user of any of the listed companies. Summary of steps taken: 1) Scraped arkofgrace.org primary pages: / (homepage), /ministry-partners, /about, /blog, /press to find any customer/partner statements, logo walls, case studies, testimonials, or documented tech usage. 2) Performed site-specific search queries on arkofgrace.org for ""case study"", (""customer"" OR ""client"" OR ""partner""), (""uses"" OR ""powered by"" OR ""integrates with""), and searched for each vendor brand (e.g., ""youversion"", ""pushpay"", ""tbn"", ""cbn"", etc.) using site:arkofgrace.org. 3) Performed vendor-site and broad web searches for combinations of ""Ark of Grace Ministries"" / arkofgrace.org with each vendor brand name and checked vendor partner/customer directories and press pages. 4) Compiled findings: arkofgrace.org/ministry-partners shows a list of ministry partners (many small businesses and affiliates), but none of the companies from the provided list. No explicit evidence found on vendor sites or third-party press pages linking Ark of Grace Ministries to any listed company. Conclusion: None of the companies in the provided list were found to have an explicit, documented customer/partner relationship with Ark of Grace Ministries (arkofgrace.org)."
"Armfield Group","Rob Pacienza","armfieldgroup.com","https://www.linkedin.com/company/armfield-group-inc","2-10 employees","Armfield Group is dedicated and qualified to help you make your business dreams a reality by being your professional business mentor. It is our passion and purpose to offer you wise counsel, strategic planning, discipline and resilience in realizing all of your dreams, both professional and personal.

To be successful, there is a specific course that must be followed. Stepping out to begin this process requires two characteristics: discipline and resilience. The most challenging aspect of this process, however, is that it is unique to the individual. Our business, our expertise and our passion is to help you find your strengths and fulfill your potential. We help build great leaders by strengthening the following skills: adaptability, discernment, perspective, communication, endurance and accountability. 

We love helping talented people get on track to fulfill their dreams.","Response","Agency","Professional services, Subscription/Retainer, One-time payment","Professional services, Subscription/Retainer, One-time payment","$5M - $10M",,,,,"http://www.facebook.com/pages/Armfield-Group/122551877770599","https://www.instagram.com/reel/DJ5iAl0tigF/","276000000","No radio or TV programming details available for Armfield Group","{""name"":""noResults"",""url"":null,""frequency"":null,""marketCity"":null,""channelType"":""other"",""showOrCh...","Noresults","Other","❌ No spend data found",,"Response","",,"Response",,"{""matchedCompany"":""None found"",""evidenceUrl"":"""",""evidenceSnippet"":""""}","None found."
"Awaken Church","Adam Smallcombe","awakenchurch.com","https://www.linkedin.com/company/c3-church-san-diego","51-200 employees","A family-focused and life-giving church with campuses in San Diego and Salt Lake City.","Response","Church","Donations/Contributions, Merchandise","Donations/Contributions, Merchandise","$10M - $25M","Brandon Bowers",,,13,"http://www.facebook.com/c3sandiego","https://www.instagram.com/awakenchurch_/","7016","Both","{""name"":""Apple Podcasts / iTunes"",""url"":""https://podcasts.apple.com/us/podcast/awaken-church-audi...","Apple Podcasts Itunes, Apple Podcasts Itunes Video, Podbean, C3cherish C3cherish Com, Spotify, Youtube, Awaken Church Live Watch Live, Awaken App","Podcast Directory, Other, Streaming Platform, Online Radio, Mobile App","✅ Spend data found for awakenchurch.com",598.5656444728374,"https://podcasts.apple.com/us/podcast/awaken-church-audio/id315281622","https://podcasts.apple.com/us/podcast/awaken-church-audio/id315281622","0","Response","Response","{""matchedCompany"":""None found"",""evidenceUrl"":"""",""evidenceSnippet"":""""}","Awaken Church is not found to be a customer of any of the specified companies (youversion.com, angel.com, bible.com, pushpay.com, pulpitai.com, christianpost.com, gloo.us, glorify.com, simplecast.com, abideomaha.org, sharefaith.com, faithwire.com, churchtechonline.com, cbndigital.com.tr, ytatv.com, churchtranslation.org, rightnowmedia.org, livevoice.io, cbn.com, emfmedia.com, salemmedia.com, daystar.com, tct.tv, bottradionetwork.com, afr.net, wrjz.com, tbn.org)."
"Awakened to Grace","Chad Roberts","awakenedtograce.com",,,,"Response","Media Ministry","Donations, Subscription, E-commerce","Donations, Subscription, E-commerce",,,,,,,,,"Both","{""name"":""Anchor"",""url"":""https://anchor.fm/awakenedtograceweekly"",""frequency"":null,""marketCity"":nu...","Anchor, Apple Podcasts, Oneplace Com, Pray Com, Youtube, Awakened To Grace Mobile App, 94 3 The Well, Smart Home Devices","Streaming Platform, Podcast Directory, Mobile App, Radio Station, Other","❌ No spend data found",,"https://podcasts.apple.com/us/podcast/awakened-to-grace/id1467527262","https://podcasts.apple.com/us/podcast/awakened-to-grace/id1467527262","0.8","Response","Response","{""matchedCompany"":""None found"",""evidenceUrl"":"""",""evidenceSnippet"":""""}","None found "" there is no publicly accessible, explicit evidence that Awakened to Grace (awakenedtograce.com) is a customer of any company from the provided list."
"Back to the Bible","Nat Crawford","backtothebible.org","https://www.linkedin.com/company/back-to-the-bible","11-50 employees","Join the Movement!  We are dedicated to bringing others closer to Jesus today than they were yesterday.  There is so much in this world that pulls us away from our relationship with Jesus.  Our spiritual fitness app, GoTandem, is designed to create a habit of daily bible engagement that is proven to transform lives.  Our research has revealed the Power of 4, that is, if a person engages the Bible 4 or more times per week, that person's life will look radically different than otherwise.   Please reach out if you'd like to connect, learn more and help others resist the darkness and engage the light!

We use digital media to share the Gospel message and help Christians grow to spiritual maturity through Bible teaching and engagement. Back to the Bible seeks to honor God, value people, champion the Bible, advance ministry, and promote and practice stewardship, as we accomplish our mission and purpose.

Back to the Bible is non-denominational, which simply means we are not affiliated with or supported by any specific church or denominational group. Our financial support is supplied by God through the generous gifts of listeners and ministry friends.","Response","Parachurch organization","Donations/Contributions, Transactional, Investment income","Donations/Contributions, Transactional, Investment income","$1M - $5M",,,,,"http://www.facebook.com/backtothebible","The official Instagram profile for Back to the Bible is https://www.instagram.com/backtothebible_us/.","9615","Radio","{""name"":""Apple Podcasts"",""url"":""https://podcasts.apple.com/us/podcast/back-to-the-bible-podcast/i...","Apple Podcasts, Libsyn, Spotify, Spotify, Youtube, Linktree, Mytuner Radio, Hitz 92 Fm, Ggfm 90 1, Love 101 Fm, The Voice 97 7 Fm","Podcast Directory, Streaming Platform, Other, Online Radio, Radio Station","❌ No spend data found",,"https://podcasts.apple.com/us/podcast/back-to-the-bible-podcast/id1677958842","https://podcasts.apple.com/us/podcast/back-to-the-bible-podcast/id1677958842","1.2","Response","Response","{""matchedCompany"":""bible.com"",""evidenceUrl"":""https://www.bible.com/organizations/6dcef9ec-5ac3-44...","Based on explicit, authoritative evidence, Back to the Bible (backtothebible.org) appears as an organization on Bible.com (YouVersion). Therefore the matched company from the provided list is: bible.com."
